state_code,state_name,lga_code,lga_name,ward_code,ward_name,pu_code,pu_name,pu_location,full_code,portal_id
01,ABIA,01,ABA NORTH,01,EZIAMA,001,RAILWAY QUARTERS I,RAILWAY QUARTERS,01/01/01/001,1
01,ABIA,01,ABA NORTH,01,EZIAMA,002,RAILWAY QUARTERS II,RAILWAY QUARTERS,01/01/01/002,2
01,ABIA,01,ABA NORTH,01,EZIAMA,003,RAILWAY QUARTERS III,RAILWAY QUARTERS,01/01/01/003,3
01,ABIA,01,ABA NORTH,01,EZIAMA,004,RAILWAY QUARTERS IV,RAILWAY QUARTERS,01/01/01/004,4
01,ABIA,01,ABA NORTH,01,EZIAMA,005,ABIA POLY I,ABIA POLY,01/01/01/005,5
01,ABIA,01,ABA NORTH,01,EZIAMA,006,ABIA POLY II,ABIA POLY,01/01/01/006,6
01,ABIA,01,ABA NORTH,01,EZIAMA,007,ABIA POLY III,ABIA POLY,01/01/01/007,7
01,ABIA,01,ABA NORTH,01,EZIAMA,008,ABIA POLY IV,ABIA POLY,01/01/01/008,8
01,ABIA,01,ABA NORTH,01,EZIAMA,009,ABIA POLY V,ABIA POLY,01/01/01/009,9
01,ABIA,01,ABA NORTH,01,EZIAMA,010,ABIA POLY VI,ABIA POLY,01/01/01/010,10
01,ABIA,01,ABA NORTH,01,EZIAMA,011,EZIAMA HIGH SCHOOL I,EZIAMA HIGH SCHOOL,01/01/01/011,11
01,ABIA,01,ABA NORTH,01,EZIAMA,012,EZIAMA HIGH SCHOOL II,EZIAMA HIGH SCHOOL,01/01/01/012,12
01,ABIA,01,ABA NORTH,01,EZIAMA,013,EZIAMA HIGH SCHOOL III,EZIAMA HIGH SCHOOL,01/01/01/013,13
01,ABIA,01,ABA NORTH,01,EZIAMA,014,EZIAMA HIGH SCHOOL IV,EZIAMA HIGH SCHOOL,01/01/01/014,14
01,ABIA,01,ABA NORTH,01,EZIAMA,015,EZIAMA HIGH SCHOOL V,EZIAMA HIGH SCHOOL,01/01/01/015,15
01,ABIA,01,ABA NORTH,01,EZIAMA,016,EZIAMA CENTRAL SCHOOL I,EZIAMA CENTRAL SCHOOL,01/01/01/016,16
01,ABIA,01,ABA NORTH,01,EZIAMA,017,EZIAMA CENTRAL SCHOOL II,EZIAMA CENTRAL SCHOOL,01/01/01/017,17
01,ABIA,01,ABA NORTH,01,EZIAMA,018,EZIAMA CENTRAL SCHOOL III,EZIAMA CENTRAL SCHOOL,01/01/01/018,18
01,ABIA,01,ABA NORTH,01,EZIAMA,019,EZIAMA CENTRAL SCHOOL IV,EZIAMA CENTRAL SCHOOL,01/01/01/019,19
01,ABIA,01,ABA NORTH,01,EZIAMA,020,EZIAMA CENTRAL SCHOOL V,EZIAMA CENTRAL SCHOOL,01/01/01/020,20
01,ABIA,01,ABA NORTH,01,EZIAMA,021,EZIAMA CENTRAL SCHOOL VI,EZIAMA CENTRAL SCHOOL,01/01/01/021,21
01,ABIA,01,ABA NORTH,01,EZIAMA,022,EZIAMA CENTRAL SCHOOL VII,EZIAMA CENTRAL SCHOOL,01/01/01/022,22
01,ABIA,01,ABA NORTH,01,EZIAMA,023,EZIAMA CENTRAL SCHOOL VIII,EZIAMA CENTRAL SCHOOL,01/01/01/023,23
01,ABIA,01,ABA NORTH,01,EZIAMA,056,RAILWAY QUARTERS VIII,,01/01/01/056,618158
01,ABIA,01,ABA NORTH,01,EZIAMA,024,ABIA POLY VII,,01/01/01/024,618213
01,ABIA,01,ABA NORTH,01,EZIAMA,025,ABIA PLOY VIII,,01/01/01/025,618214
01,ABIA,01,ABA NORTH,01,EZIAMA,026,ABIA PLOY IX,,01/01/01/026,618215
01,ABIA,01,ABA NORTH,01,EZIAMA,027,ABIA POLY X,,01/01/01/027,618216
01,ABIA,01,ABA NORTH,01,EZIAMA,028,ABIA PLOY XI,,01/01/01/028,618217
01,ABIA,01,ABA NORTH,01,EZIAMA,029,ABIA POLY XII,,01/01/01/029,618218
01,ABIA,01,ABA NORTH,01,EZIAMA,030,ABIA PLOY XIII,,01/01/01/030,618219
01,ABIA,01,ABA NORTH,01,EZIAMA,031,ABIA PLOY XIV,,01/01/01/031,618220
01,ABIA,01,ABA NORTH,01,EZIAMA,032,ABIA POLY XV,,01/01/01/032,618221
01,ABIA,01,ABA NORTH,01,EZIAMA,033,ABIA PLOY XVI,,01/01/01/033,618222
01,ABIA,01,ABA NORTH,01,EZIAMA,034,ABIA PLOY XVII,,01/01/01/034,618223
01,ABIA,01,ABA NORTH,01,EZIAMA,035,ABIA PLOY XVIII,,01/01/01/035,618224
01,ABIA,01,ABA NORTH,01,EZIAMA,036,ABIA POLY XIX,,01/01/01/036,618225
01,ABIA,01,ABA NORTH,01,EZIAMA,037,ABIA PLOY XX,,01/01/01/037,618226
01,ABIA,01,ABA NORTH,01,EZIAMA,038,ABIA PLOY XXI,,01/01/01/038,618227
01,ABIA,01,ABA NORTH,01,EZIAMA,039,ABIA PLOY XXII,,01/01/01/039,618228
01,ABIA,01,ABA NORTH,01,EZIAMA,040,ABIA POLY XXIII,,01/01/01/040,618229
01,ABIA,01,ABA NORTH,01,EZIAMA,041,ABIA PLOY XXIV,,01/01/01/041,618230
01,ABIA,01,ABA NORTH,01,EZIAMA,042,ABIA PLOY XXV,,01/01/01/042,618231
01,ABIA,01,ABA NORTH,01,EZIAMA,043,ABIA POLY XXVI,,01/01/01/043,618232
01,ABIA,01,ABA NORTH,01,EZIAMA,044,ABIA PLOY XXVII,,01/01/01/044,618233
01,ABIA,01,ABA NORTH,01,EZIAMA,045,EZIAMA HIGH SCHOOL VI,,01/01/01/045,618234
01,ABIA,01,ABA NORTH,01,EZIAMA,046,EZIAMA HIGH SCHOOL VII,,01/01/01/046,618235
01,ABIA,01,ABA NORTH,01,EZIAMA,047,EZIAMA HIGH SCH. VIII,,01/01/01/047,618236
01,ABIA,01,ABA NORTH,01,EZIAMA,048,EZIAMA HIGH SCH. IX,,01/01/01/048,618237
01,ABIA,01,ABA NORTH,01,EZIAMA,049,EZIAMA HIGH SCH. X,,01/01/01/049,618238
01,ABIA,01,ABA NORTH,01,EZIAMA,050,EZIAMA HIGH SCH. XI,,01/01/01/050,618239
01,ABIA,01,ABA NORTH,01,EZIAMA,051,EZIAMA HIGH SCH. XII,,01/01/01/051,618240
01,ABIA,01,ABA NORTH,01,EZIAMA,052,EZIAMA HIGH SCH. XIII,,01/01/01/052,618241
01,ABIA,01,ABA NORTH,01,EZIAMA,053,RAILWAY QUARTERS V,,01/01/01/053,618242
01,ABIA,01,ABA NORTH,01,EZIAMA,054,RAILWAY QUARTERS VI,,01/01/01/054,618243
01,ABIA,01,ABA NORTH,01,EZIAMA,055,RAILWAY QUARTERS VII,,01/01/01/055,618244
01,ABIA,01,ABA NORTH,01,EZIAMA,058,BTC SCHOOL PRMISES XIII,,01/01/01/058,675571
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,001,NGWA CULTURAL HALL I,NGWA CULTURAL HALL,01/01/02/001,24
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,002,NGWA CULTURAL HALL II,NGWA CULTURAL HALL,01/01/02/002,25
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,003,NGWA CULTURAL HALL- NGWA CULTURAL HALL III,,01/01/02/003,26
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,004,NGWA CULTURAL HALL- NGWA CULTURAL HALL IV,,01/01/02/004,27
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,005,BATA PREMISES I,BATA PREMISES,01/01/02/005,28
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,006,BATA PREMISES II,BATA PREMISES,01/01/02/006,29
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,007,BATA PREMISES III,BATA PREMISES,01/01/02/007,30
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,008,BATA PREMISES IV,BATA PREMISES,01/01/02/008,31
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,009,LEVER BROTHERS GATE I,LEVER BROTHERS GATE,01/01/02/009,32
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,010,LEVER BROTHERS GATE- LEVER BROTHERS GATE II,,01/01/02/010,33
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,011,LEVER BROTHERS GATE- LEVER BROTHERS GATE III,,01/01/02/011,34
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,,01/01/02/012,35
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,013,INDPENDENCE ROAD-I.D.H I,,01/01/02/013,36
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,014,INDPENDENCE ROAD-I.D.H II,,01/01/02/014,37
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,015,INDPENDENCE ROAD-I.D.H III,,01/01/02/015,38
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,016,INDPENDENCE ROAD-I.D.H IV,,01/01/02/016,39
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,017,CAR PARK I,G.B.O. CAR PARK,01/01/02/017,40
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,018,CAR PARK II,G.B.O. CAR PARK,01/01/02/018,41
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,019,CAR PARK III,G.B.O. CAR PARK,01/01/02/019,42
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,020,CAR PARK IV,G.B.O. CAR PARK,01/01/02/020,43
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,021,CAR PARK V,G.B.O. CAR PARK,01/01/02/021,44
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,022,OLD POST OFFICE PREMISES I,OLD POST OFFICE,01/01/02/022,45
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,023,OLD POST OFFICE PREMISES II,OLD POST OFFICE,01/01/02/023,46
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,024,OLD POST OFFICE PREMISES III,OLD POST OFFICE,01/01/02/024,47
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,025,OLD POST OFFICE PREMISES IV,OLD POST OFFICE,01/01/02/025,48
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,026,OLD POST OFFICE PREMISES V,OLD POST OFFICE,01/01/02/026,49
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,027,OLD POST OFFICE PREMISES VI,OLD POST OFFICE,01/01/02/027,50
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,028,OLD POST OFFICE PREMISES VII,OLD POST OFFICE,01/01/02/028,51
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,029,SCHOOL PREMISES,IMMACULATE CONCEPTION PRIMARY SCHOOL PREMISES,01/01/02/029,52
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,030,NGWA CULTURAL HALL V,,01/01/02/030,618246
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,031,NGWA CULTURAL HALL VI,,01/01/02/031,618247
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,032,OLD POST OFFICE VIII,,01/01/02/032,618248
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,033,OLD POST OFFICE PREM. IX,,01/01/02/033,618249
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,034,OLD POST OFFICE PREM. X,,01/01/02/034,618250
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,035,LEVER BROTHER GATE V,,01/01/02/035,618251
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,036,LEVER BROTHER GATE VI,,01/01/02/036,618252
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,038,BATA PREMISES VI,,01/01/02/038,618253
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,039,BATA PREMISES VII,,01/01/02/039,618254
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,040,BATA PREMISES VIII,,01/01/02/040,618255
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,041,BATA PREMISES IX,,01/01/02/041,618256
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,042,BATA PREMISES X,,01/01/02/042,618257
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,043,GBO PARK VI,,01/01/02/043,618258
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,044,GBO PARK VII,,01/01/02/044,618259
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,045,NGWA CULTURAL HALL VII,,01/01/02/045,618260
01,ABIA,01,ABA NORTH,02,INDUSTRIAL AREA,037,BATA PREMISES V,,01/01/02/037,675569
01,ABIA,01,ABA NORTH,03,OSUSU I,001,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES I,,01/01/03/001,53
01,ABIA,01,ABA NORTH,03,OSUSU I,002,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II,,01/01/03/002,54
01,ABIA,01,ABA NORTH,03,OSUSU I,003,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES III,,01/01/03/003,55
01,ABIA,01,ABA NORTH,03,OSUSU I,004,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES IV,,01/01/03/004,56
01,ABIA,01,ABA NORTH,03,OSUSU I,005,OSUSU RD.PRI.SCHL-SCHOOL PREMISES V,,01/01/03/005,57
01,ABIA,01,ABA NORTH,03,OSUSU I,006,OSUSU RD.PRI.SCHL-SCHOOL PREMISES VI,,01/01/03/006,58
01,ABIA,01,ABA NORTH,03,OSUSU I,007,B.T.C. SCHOOL PREMISES I,,01/01/03/007,59
01,ABIA,01,ABA NORTH,03,OSUSU I,008,B.T.C. SCHOOL PREMISES II,,01/01/03/008,60
01,ABIA,01,ABA NORTH,03,OSUSU I,009,B.T.C. SCHOOL PREMISES III,,01/01/03/009,61
01,ABIA,01,ABA NORTH,03,OSUSU I,010,B.T.C. SCHOOL PREMISES IV,,01/01/03/010,62
01,ABIA,01,ABA NORTH,03,OSUSU I,011,B.T.C. SCHOOL PREMISES V,,01/01/03/011,63
01,ABIA,01,ABA NORTH,03,OSUSU I,012,B.T.C. SCHOOL PREMISES VI,,01/01/03/012,64
01,ABIA,01,ABA NORTH,03,OSUSU I,013,B.T.C. SCHOOL PREMISES VII,,01/01/03/013,65
01,ABIA,01,ABA NORTH,03,OSUSU I,014,OKIGWE ROAD.PRIMARY SCHOOL- SCHOOL PREMISES I,,01/01/03/014,66
01,ABIA,01,ABA NORTH,03,OSUSU I,015,SCHOOL PREMISES II,OKIGWE ROAD.PRIMARY SCHOOL PREMISES,01/01/03/015,67
01,ABIA,01,ABA NORTH,03,OSUSU I,016,SCHOOL PREMISES III,OKIGWE ROAD.PRIMARY SCHOOL,01/01/03/016,68
01,ABIA,01,ABA NORTH,03,OSUSU I,017,SCHOOL PREMISES IV,OKIGWE ROAD.PRIMARY SCHOOL,01/01/03/017,69
01,ABIA,01,ABA NORTH,03,OSUSU I,018,SCHOOL PREMISES V,OKIGWE ROAD.PRIMARY SCHOOL,01/01/03/018,70
